Index,Título do PR,URL,Data de Criação,Data de Fechamento,Total de Revisões,Decisão da Revisão,Total de Adições,Total de Remoções,Total de Arquivos Alterados,Comprimento da Descrição,Tempo de Análise (horas),Total de Comentários,Total de Participantes
5,Added next init command for starting a new project,https://github.com/vercel/next.js/pull/15,2016-10-16T06:34:49Z,2016-10-16T23:55:30Z,1,MERGED,57,0,2,123,17.344722222222224,0,2
6,Load client js from cdn with fallback,https://github.com/vercel/next.js/pull/34,2016-10-17T08:36:50Z,2016-10-25T05:50:33Z,2,MERGED,27,1,1,48,189.22861111111112,1,2
7,Added glamor css,https://github.com/vercel/next.js/pull/38,2016-10-20T02:12:40Z,2016-10-21T16:39:20Z,2,MERGED,87,109,16,25,38.44444444444444,0,2
8,Exposing glamor style as default,https://github.com/vercel/next.js/pull/39,2016-10-22T07:46:33Z,2016-10-25T06:57:44Z,2,MERGED,20,1,1,51,71.18638888888889,0,3
9,Use detect-port to check if 3000 is already used.,https://github.com/vercel/next.js/pull/68,2016-10-25T20:37:42Z,2016-12-17T03:37:00Z,4,MERGED,55,7,6,284,1254.9883333333332,15,9
10,Add license MIT,https://github.com/vercel/next.js/pull/93,2016-10-26T16:27:15Z,2016-10-29T10:56:46Z,11,MERGED,21,0,1,0,66.49194444444444,1,5
11,Fix issue #85,https://github.com/vercel/next.js/pull/97,2016-10-26T18:10:16Z,2016-10-26T23:49:05Z,1,MERGED,3,0,1,467,5.646944444444444,1,3
12,README: improve getting started & contributing,https://github.com/vercel/next.js/pull/101,2016-10-26T19:48:39Z,2017-01-05T17:30:31Z,3,MERGED,56,38,1,183,1701.6977777777777,9,5
1,English 翻译数据结构系列/单调队列.md,https://github.com/labuladong/fucking-algorithm/pull/61,2020-02-29T09:27:49Z,2020-03-01T12:32:47Z,2,MERGED,183,185,3,24,27.08277777777778,4,2
2,翻译了数据结构系列，二叉堆实现优先队列,https://github.com/labuladong/fucking-algorithm/pull/78,2020-03-01T02:33:00Z,2020-03-01T05:09:21Z,3,MERGED,213,216,2,117,2.6058333333333334,1,2
3,The Longest Palindromic Substring.md English,https://github.com/labuladong/fucking-algorithm/pull/87,2020-03-01T05:13:32Z,2020-03-01T11:10:42Z,1,MERGED,119,104,4,84,5.9527777777777775,4,2
4,translate the article UnionFind 算法应用,https://github.com/labuladong/fucking-algorithm/pull/89,2020-03-01T07:02:12Z,2020-03-01T11:41:33Z,1,MERGED,220,225,6,121,4.655833333333334,3,2
5,translate 数据结构系列/单调栈,https://github.com/labuladong/fucking-algorithm/pull/90,2020-03-01T07:19:22Z,2020-03-01T12:43:16Z,1,MERGED,122,119,2,13,5.398333333333333,0,2
6,translate 高频面试系列/座位调度.md ,https://github.com/labuladong/fucking-algorithm/pull/97,2020-03-01T10:09:54Z,2020-03-02T11:17:15Z,1,MERGED,223,0,10,30,25.1225,2,2
7,translate 动态规划系列/编辑距离.md,https://github.com/labuladong/fucking-algorithm/pull/98,2020-03-01T11:36:46Z,2020-03-01T13:10:20Z,1,MERGED,271,263,9,21,1.5594444444444444,2,2
8,算法学习之路全文翻译,https://github.com/labuladong/fucking-algorithm/pull/107,2020-03-01T23:12:24Z,2020-03-02T04:06:59Z,1,MERGED,94,81,2,37,4.909722222222222,5,2
9,translate 算法思路系列/双指针技巧,https://github.com/labuladong/fucking-algorithm/pull/115,2020-03-02T05:38:31Z,2020-03-02T11:39:51Z,1,MERGED,199,199,2,22,6.022222222222222,0,2
1,Added capitalize first letter of every word,https://github.com/Chalarangelo/30-seconds-of-code/pull/1,2017-12-11T19:26:34Z,2017-12-12T13:37:53Z,2,MERGED,9,0,1,0,18.18861111111111,1,2
2,simple ES6 unique array  values,https://github.com/Chalarangelo/30-seconds-of-code/pull/5,2017-12-11T20:20:36Z,2017-12-12T00:29:50Z,1,MERGED,2,8,1,0,4.153888888888889,1,3
3,Update unique-values-of-array.md,https://github.com/Chalarangelo/30-seconds-of-code/pull/7,2017-12-12T00:47:57Z,2017-12-12T08:56:25Z,1,MERGED,14,8,1,0,8.141111111111112,2,2
4,Replace the usage of ìndexOf` for `includes`,https://github.com/Chalarangelo/30-seconds-of-code/pull/8,2017-12-12T01:34:13Z,2017-12-12T09:08:33Z,1,MERGED,5,4,1,0,7.572222222222222,0,2
5,Update RGB to hexadecimal to new bitwise version,https://github.com/Chalarangelo/30-seconds-of-code/pull/9,2017-12-12T01:55:09Z,2017-12-12T18:52:34Z,2,MERGED,16,4,1,96,16.956944444444446,7,4
6,Capitalize first letter: safe against empty string,https://github.com/Chalarangelo/30-seconds-of-code/pull/10,2017-12-12T02:29:46Z,2017-12-12T09:16:01Z,1,MERGED,1,1,1,48,6.770833333333333,0,2
7,Fixes a typo,https://github.com/Chalarangelo/30-seconds-of-code/pull/11,2017-12-12T06:44:04Z,2017-12-12T09:13:49Z,1,MERGED,1,1,1,0,2.495833333333333,0,2
8,Add reverseString,https://github.com/Chalarangelo/30-seconds-of-code/pull/12,2017-12-12T06:59:48Z,2017-12-12T09:25:35Z,1,MERGED,9,1,1,0,2.4297222222222223,2,2
9,Directly return object from arrow function,https://github.com/Chalarangelo/30-seconds-of-code/pull/13,2017-12-12T07:11:37Z,2017-12-12T14:07:36Z,6,MERGED,4,6,2,82,6.933055555555556,2,3
10,Create Check_for_palindrome.md,https://github.com/Chalarangelo/30-seconds-of-code/pull/25,2017-12-12T10:39:03Z,2017-12-12T14:23:01Z,3,MERGED,8,0,1,0,3.7327777777777778,4,2
11,Anagrams recursion refactor (code legibility),https://github.com/Chalarangelo/30-seconds-of-code/pull/31,2017-12-12T12:40:16Z,2017-12-12T16:23:00Z,1,MERGED,11,7,1,110,3.712222222222222,2,2
12,Added async function chain,https://github.com/Chalarangelo/30-seconds-of-code/pull/37,2017-12-12T16:30:27Z,2017-12-13T10:12:43Z,4,MERGED,14,0,1,208,17.704444444444444,1,2
13,Add chunk array,https://github.com/Chalarangelo/30-seconds-of-code/pull/38,2017-12-12T16:37:36Z,2017-12-13T10:04:56Z,2,MERGED,13,0,1,148,17.455555555555556,1,2
